Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6913bc4207a4dd5c59332ea0,5a2ef9bbfd28e9000102ee68,AWAITING REVIEW,Not Applicable,2025-11-11T22:44:22.634000Z,2025-11-11T22:55:13.085000Z,,2025-11-11T22:55:13.785812Z,651.0,CURFFCKX,4354,Woman (including Trans Female/Trans Woman),53,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6913bc596e16a5b4666a226f,6719280d44c996e04f9a5475,AWAITING REVIEW,Not Applicable,2025-11-11T22:45:15.464000Z,2025-11-11T23:04:22.733000Z,,2025-11-11T23:04:23.143672Z,1148.0,CURFFCKX,1663,Woman (including Trans Female/Trans Woman),62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6913bc5bde99f8ea7f797a02,66928f171518765c5f8cea5b,AWAITING REVIEW,Not Applicable,2025-11-11T22:45:27.922000Z,2025-11-11T23:06:01.365000Z,,2025-11-11T23:06:01.746898Z,1234.0,CURFFCKX,714,Woman (including Trans Female/Trans Woman),41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913bc5e822dc69485c31760,5c8b065abd96ce0001947d1b,AWAITING REVIEW,Not Applicable,2025-11-11T22:44:58Z,2025-11-11T22:59:16.786000Z,,2025-11-11T22:59:17.184818Z,859.0,CURFFCKX,3159,Woman (including Trans Female/Trans Woman),42,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6913bc6742e7a5ead3fd3edb,56b78f11e77ebe000cbefe79,AWAITING REVIEW,Not Applicable,2025-11-11T22:44:55.169000Z,2025-11-11T23:04:20.808000Z,,2025-11-11T23:04:21.235358Z,1166.0,CURFFCKX,8572,Woman (including Trans Female/Trans Woman),60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6913bc773fccb84a6f345e2a,67e48fe0292eb135e6a513d8,AWAITING REVIEW,Not Applicable,2025-11-11T22:45:13.962000Z,2025-11-11T23:03:17.744000Z,,2025-11-11T23:03:18.154581Z,1084.0,CURFFCKX,1204,Woman (including Trans Female/Trans Woman),42,Female,Asian,China,United Kingdom,United Kingdom,Chinese,No,Full-Time
6913bc7a55623a34d1e6afa4,5affe1f4331e8100018f1d45,AWAITING REVIEW,Not Applicable,2025-11-11T22:45:14.013000Z,2025-11-11T23:08:38.872000Z,,2025-11-11T23:08:39.287967Z,1405.0,CURFFCKX,3097,Woman (including Trans Female/Trans Woman),61,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Other
6913bc8ad44604d612ceb87f,5bc690392885710001a0bb76,AWAITING REVIEW,Not Applicable,2025-11-11T22:47:24.090000Z,2025-11-11T23:06:05.137000Z,,2025-11-11T23:06:05.520323Z,1122.0,CURFFCKX,4507,Woman (including Trans Female/Trans Woman),60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6913bc9dfbf0be43cf8da7cd,5cbb1374517cd00001310c43,AWAITING REVIEW,Not Applicable,2025-11-11T22:45:52.978000Z,2025-11-11T23:08:44.706000Z,,2025-11-11T23:08:45.108415Z,1372.0,CURFFCKX,1631,Woman (including Trans Female/Trans Woman),31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913bca3ad57c30522542dac,5e9ffa9ee172201b04f1a4c6,AWAITING REVIEW,Not Applicable,2025-11-11T22:46:03.653000Z,2025-11-11T22:59:08.759000Z,,2025-11-11T22:59:09.151930Z,786.0,CURFFCKX,5039,Woman (including Trans Female/Trans Woman),44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
